Date,Country,Confirmed,Recovered,Deaths,Cases
2020-03-05,United Kingdom,116,8,0,124
2020-03-06,Canada,49,6,0,55
2020-03-06,China,80690,53944,3044,137678
2020-03-06,France,656,12,9,677
2020-03-06,Germany,670,17,0,687
2020-03-06,US,267,7,14,288
2020-03-06,United Kingdom,164,8,1,173
2020-03-07,Canada,54,8,0,62
2020-03-07,China,80770,55539,3072,139381
2020-03-07,France,959,12,11,982
2020-03-07,Germany,799,18,0,817
2020-03-07,US,403,7,17,427
2020-03-07,United Kingdom,207,18,2,227
2020-03-08,Canada,64,8,0,72
2020-03-08,China,80823,57388,3100,141311
2020-03-08,France,1136,12,19,1167
2020-03-08,Germany,1040,18,0,1058
2020-03-08,US,519,7,21,547
2020-03-08,United Kingdom,274,18,2,294
2020-03-09,Canada,77,8,1,86
2020-03-09,China,80860,58804,3123,142787
2020-03-09,France,1219,12,19,1250
2020-03-09,Germany,1176,18,2,1196
2020-03-09,US,588,7,22,617
2020-03-09,United Kingdom,322,18,3,343
2020-03-10,Canada,79,8,1,88
2020-03-10,China,80887,60181,3139,144207
2020-03-10,France,1794,12,33,1839
2020-03-10,Germany,1457,18,2,1477
2020-03-10,US,962,8,28,998
2020-03-10,United Kingdom,384,19,7,410
2020-03-11,Canada,108,8,1,117
2020-03-11,China,80921,61644,3161,145726
2020-03-11,France,2293,12,48,2353
2020-03-11,Germany,1908,25,3,1936
2020-03-11,US,1285,8,36,1329
2020-03-11,United Kingdom,459,19,7,485
2020-03-12,Canada,117,8,1,126
2020-03-12,China,80932,62901,3172,147005
2020-03-12,France,2293,12,48,2353
2020-03-12,Germany,2078,25,3,2106
2020-03-12,US,1667,12,42,1721
2020-03-12,United Kingdom,459,19,9,487
2020-03-13,Canada,193,8,1,202
2020-03-13,China,80945,64196,3180,148321
2020-03-13,France,3681,12,79,3772
2020-03-13,Germany,3675,46,7,3728
2020-03-13,US,2181,12,50,2243
2020-03-13,United Kingdom,802,19,10,831
2020-03-14,Canada,198,8,1,207
2020-03-14,China,80977,65660,3193,149830
2020-03-14,France,4496,12,91,4599
2020-03-14,Germany,4585,46,9,4640
2020-03-14,US,2729,12,60,2801
2020-03-14,United Kingdom,1144,19,28,1191
2020-03-15,Canada,252,8,1,261
2020-03-15,China,81003,67017,3203,151223
2020-03-15,France,4532,12,91,4635
2020-03-15,Germany,5795,46,11,5852
2020-03-15,US,3536,12,74,3622
2020-03-15,United Kingdom,1145,19,43,1207
2020-03-16,Canada,415,9,4,428
2020-03-16,China,81033,67910,3217,152160
2020-03-16,France,6683,12,149,6844
2020-03-16,Germany,7272,67,17,7356
2020-03-16,US,4661,17,100,4778
2020-03-16,United Kingdom,1551,21,66,1638
2020-03-17,Canada,478,9,5,492
2020-03-17,China,81058,68798,3230,153086
2020-03-17,France,7715,12,149,7876
2020-03-17,Germany,9257,67,24,9348
2020-03-17,US,6437,17,134,6588
2020-03-17,United Kingdom,1960,53,82,2095
2020-03-18,Canada,657,9,8,674
2020-03-18,China,81102,69755,3241,154098
2020-03-18,France,9124,12,149,9285
2020-03-18,Germany,12327,105,28,12460
2020-03-18,US,7781,105,165,8051
2020-03-18,United Kingdom,2642,67,116,2825
2020-03-19,Canada,800,9,9,818
2020-03-19,China,81156,70535,3249,154940
2020-03-19,France,10970,12,244,11226
2020-03-19,Germany,15320,113,44,15477
2020-03-19,US,13748,121,259,14128
2020-03-19,United Kingdom,2716,67,159,2942
2020-03-20,Canada,943,9,12,964
2020-03-20,China,81250,71266,3253,155769
2020-03-20,France,12758,12,451,13221
2020-03-20,Germany,19848,180,67,20095
2020-03-20,US,19274,147,350,19771
2020-03-20,United Kingdom,4014,67,195,4276
2020-03-21,Canada,1277,10,19,1306
2020-03-21,China,81305,71857,3259,156421
2020-03-21,France,14463,12,563,15038
2020-03-21,Germany,22213,233,84,22530
2020-03-21,US,25600,176,442,26218
2020-03-21,United Kingdom,5067,67,251,5385
2020-03-22,Canada,1469,10,21,1500
2020-03-22,China,81435,72362,3274,157071
2020-03-22,France,16243,2206,676,19125
2020-03-22,Germany,24873,266,94,25233
2020-03-22,US,33280,178,587,34045
2020-03-22,United Kingdom,5745,67,286,6098
2020-03-23,Canada,2088,10,25,2123
2020-03-23,China,81498,72814,3274,157586
2020-03-23,France,20123,2206,862,23191
2020-03-23,Germany,29056,266,123,29445
2020-03-23,US,43862,178,786,44826
2020-03-23,United Kingdom,6726,67,360,7153
2020-03-24,Canada,2790,110,26,2926
2020-03-24,China,81591,73280,3281,158152
2020-03-24,France,22622,3250,1102,26974
2020-03-24,Germany,32986,3243,157,36386
2020-03-24,US,53925,348,1011,55284
2020-03-24,United Kingdom,8164,140,509,8813
2020-03-25,Canada,3251,183,30,3464
2020-03-25,China,81661,73773,3285,158719
2020-03-25,France,25600,3907,1333,30840
2020-03-25,Germany,37323,3547,206,41076
2020-03-25,US,65844,361,1320,67525
2020-03-25,United Kingdom,9640,140,695,10475
2020-03-26,Canada,4042,184,38,4264
2020-03-26,China,81782,74181,3291,159254
2020-03-26,France,29551,4955,1698,36204
2020-03-26,Germany,43938,5673,267,49878
2020-03-26,US,83836,681,1726,86243
2020-03-26,United Kingdom,11812,150,879,12841
2020-03-27,Canada,4682,256,54,4992
2020-03-27,China,81897,74720,3296,159913
2020-03-27,France,33402,5707,1997,41106
2020-03-27,Germany,50871,6658,342,57871
2020-03-27,US,101962,869,2269,105100
2020-03-27,United Kingdom,14745,151,1163,16059
2020-03-28,Canada,5576,466,61,6103
2020-03-28,China,81999,75100,3299,160398
2020-03-28,France,38105,5724,2317,46146
2020-03-28,Germany,57695,8481,433,66609
2020-03-28,US,121786,1072,2744,125602
2020-03-28,United Kingdom,17312,151,1457,18920
2020-03-29,Canada,6280,466,64,6810
2020-03-29,China,82122,75582,3304,161008
2020-03-29,France,40708,7226,2611,50545
2020-03-29,Germany,62095,9211,533,71839
2020-03-29,US,140910,2665,3420,146995
2020-03-29,United Kingdom,19780,151,1672,21603
2020-03-30,Canada,7398,466,80,7944
2020-03-30,China,82198,75923,3308,161429
2020-03-30,France,45170,7964,3030,56164
2020-03-30,Germany,66885,13500,645,81030
2020-03-30,US,162147,5644,4196,171987
2020-03-30,United Kingdom,22453,171,2046,24670
2020-03-31,Canada,8527,1592,101,10220
2020-03-31,China,82279,76206,3309,161794
2020-03-31,France,52827,9513,3532,65872
2020-03-31,Germany,71808,16100,775,88683
2020-03-31,US,188172,7024,5367,200563
2020-03-31,United Kingdom,25481,179,2429,28089
2020-04-01,Canada,9560,1324,109,10993
2020-04-01,China,82361,76405,3316,162082
2020-04-01,France,57749,11053,4414,73216
2020-04-01,Germany,77872,18700,920,97492
2020-04-01,US,213602,8474,6511,228587
2020-04-01,United Kingdom,29865,179,3100,33144
2020-04-02,Canada,11284,1735,139,13158
2020-04-02,China,82432,76565,3322,162319
2020-04-02,France,59929,12548,5398,77875
2020-04-02,Germany,84794,22440,1107,108341
2020-04-02,US,244008,9001,7938,260947
2020-04-02,United Kingdom,34173,192,3752,38117
2020-04-03,Canada,12437,2175,179,14791
2020-04-03,China,82511,76760,3326,162597
2020-04-03,France,65202,14135,6520,85857
2020-04-03,Germany,91159,24575,1275,117009
2020-04-03,US,275798,9707,9260,294765
2020-04-03,United Kingdom,38689,208,4467,43364
2020-04-04,Canada,12978,2577,218,15773
2020-04-04,China,82543,76946,3330,162819
2020-04-04,France,69500,15572,7574,92646
2020-04-04,Germany,96092,26400,1444,123936
2020-04-04,US,309027,14652,10870,334549
2020-04-04,United Kingdom,42477,215,5228,47920
2020-04-05,Canada,15756,3012,259,19027
2020-04-05,China,82602,77207,3333,163142
2020-04-05,France,71412,16349,8093,95854
2020-04-05,Germany,100123,28700,1584,130407
2020-04-05,US,336802,17448,12375,366625
2020-04-05,United Kingdom,48436,229,5874,54539
2020-04-06,Canada,16563,3256,339,20158
2020-04-06,China,82665,77310,3335,163310
2020-04-06,France,75343,17428,8926,101697
2020-04-06,Germany,103374,28700,1810,133884
2020-04-06,US,366317,19581,13894,399792
2020-04-06,United Kingdom,52279,287,6445,59011
2020-04-07,Canada,17872,3791,375,22038
2020-04-07,China,82718,77410,3335,163463
2020-04-07,France,79163,19523,10343,109029
2020-04-07,Germany,107663,36081,2016,145760
2020-04-07,US,397121,21763,16191,435075
2020-04-07,United Kingdom,55949,325,7483,63757
2020-04-08,Canada,19141,4154,407,23702
2020-04-08,China,82809,77567,3337,163713
2020-04-08,France,83057,21452,10887,115396
2020-04-08,Germany,113296,46300,2349,161945
2020-04-08,US,428654,23559,18270,470483
2020-04-08,United Kingdom,61474,345,8519,70338
2020-04-09,Canada,20654,5162,503,26319
2020-04-09,China,82883,77679,3339,163901
2020-04-09,France,87366,23413,12228,123007
2020-04-09,Germany,118181,52407,2607,173195
2020-04-09,US,463327,25410,20288,509025
2020-04-09,United Kingdom,65872,359,9623,75854
2020-04-10,Canada,22059,5855,557,28471
2020-04-10,China,82941,77791,3340,164072
2020-04-10,France,91738,25195,13215,130148
2020-04-10,Germany,122171,53913,2767,178851
2020-04-10,US,496846,28790,22357,547993
2020-04-10,United Kingdom,74605,588,10776,85969
2020-04-11,Canada,23316,6589,654,30559
2020-04-11,China,83014,77877,3343,164234
2020-04-11,France,94863,26663,13851,135377
2020-04-11,Germany,124908,57400,2736,185044
2020-04-11,US,526776,31270,24366,582412
2020-04-11,United Kingdom,79874,622,11616,92112
2020-04-12,Canada,24299,7123,714,32136
2020-04-12,China,83134,77956,3343,164433
2020-04-12,France,121712,27469,14412,163593
2020-04-12,Germany,127854,60300,3022,191176
2020-04-12,US,555313,32988,26086,614387
2020-04-12,United Kingdom,85206,626,12302,98134
2020-04-13,Canada,25680,7758,781,34219
2020-04-13,China,83213,78039,3345,164597
2020-04-13,France,125394,28001,14986,168381
2020-04-13,Germany,130072,64300,3194,197566
2020-04-13,US,580624,43482,27870,651976
2020-04-13,United Kingdom,89570,304,13047,102921
2020-04-14,Canada,27035,8210,901,36146
2020-04-14,China,83306,78200,3345,164851
2020-04-14,France,130365,28805,15731,174901
2020-04-14,Germany,131359,68200,3294,202853
2020-04-14,US,607670,47763,30262,685695
2020-04-14,United Kingdom,94845,323,14095,109263
2020-04-15,Canada,28209,8966,1008,38183
2020-04-15,China,83356,78311,3346,165013
2020-04-15,France,133585,30955,17169,181709
2020-04-15,Germany,134753,72600,3804,211157
2020-04-15,US,636674,52096,32760,721530
2020-04-15,United Kingdom,99483,368,14941,114792
2020-04-16,Canada,30809,9698,1259,41766
2020-04-16,China,83403,78401,3346,165150
2020-04-16,France,146075,32812,17922,196809
2020-04-16,Germany,137698,77000,4052,218750
2020-04-16,US,667981,54703,34844,757528
2020-04-16,United Kingdom,104145,375,15974,120494
2020-04-17,Canada,32814,10545,1356,44715
2020-04-17,China,83760,77552,4636,165948
2020-04-17,France,148084,34420,18683,201187
2020-04-17,Germany,141397,83114,4352,228863
2020-04-17,US,700062,58545,37428,796035
2020-04-17,United Kingdom,109769,394,16910,127073
2020-04-18,Canada,34356,10964,1401,46721
2020-04-18,China,83787,77614,4636,166037
2020-04-18,France,148086,35983,19325,203394
2020-04-18,Germany,143342,85400,4459,233201
2020-04-18,US,732590,64840,39775,837205
2020-04-18,United Kingdom,115314,414,18028,133756
2020-04-19,Canada,35633,11847,1565,49045
2020-04-19,China,83805,77690,4636,166131
2020-04-19,France,153011,36578,19720,209309
2020-04-19,Germany,145184,88000,4586,237770
2020-04-19,US,758809,70337,40945,870091
2020-04-19,United Kingdom,121172,436,18527,140135
2020-04-20,Canada,37658,12543,1727,51928
2020-04-20,China,83817,77745,4636,166198
2020-04-20,France,155393,37409,20267,213069
2020-04-20,Germany,147065,91500,4862,243427
2020-04-20,US,784708,72329,42686,899723
2020-04-20,United Kingdom,125856,446,19092,145394
2020-04-21,Canada,39402,13188,1910,54500
2020-04-21,China,83853,77799,4636,166288
2020-04-21,France,158168,39181,20798,218147
2020-04-21,Germany,148291,95200,5033,248524
2020-04-21,US,811865,75204,45086,932155
2020-04-21,United Kingdom,130172,638,20264,151074
2020-04-22,Canada,41663,14454,2078,58195
2020-04-22,China,83868,77861,4636,166365
2020-04-22,France,155980,40657,21342,217979
2020-04-22,Germany,150648,99400,5279,255327
2020-04-22,US,840351,77366,47412,965129
2020-04-22,United Kingdom,134638,683,21111,156432
2020-04-23,Canada,43299,14761,2241,60301
2020-04-23,China,83884,77983,4636,166503
2020-04-23,France,158303,42088,21858,222249
2020-04-23,Germany,153129,103300,5575,262004
2020-04-23,US,869170,80203,49724,999097
2020-04-23,United Kingdom,139246,712,21840,161798
2020-04-24,Canada,44919,15149,2402,62470
2020-04-24,China,83899,78109,4636,166644
2020-04-24,France,159952,43493,22248,225693
2020-04-24,Germany,154999,109800,5760,270559
2020-04-24,US,905358,99079,51493,1055930
2020-04-24,United Kingdom,144640,724,22853,168217
2020-04-25,Canada,46371,16013,2571,64955
2020-04-25,China,83909,78175,4636,166720
2020-04-25,France,161644,44594,22617,228855
2020-04-25,Germany,156513,109800,5877,272190
2020-04-25,US,938154,100372,53755,1092281
2020-04-25,United Kingdom,149569,774,23697,174040
2020-04-26,Canada,48033,16883,2687,67603
2020-04-26,China,83912,78277,4637,166826
2020-04-26,France,162220,44903,22859,229982
2020-04-26,Germany,157770,112000,5976,275746
2020-04-26,US,965785,106988,54881,1127654
2020-04-26,United Kingdom,154037,778,24117,178932
2020-04-27,Canada,49616,18268,2841,70725
2020-04-27,China,83918,78374,4637,166929
2020-04-27,France,165963,45513,23296,234772
2020-04-27,Germany,158758,114500,6126,279384
2020-04-27,US,988197,111424,56219,1155840
2020-04-27,United Kingdom,158348,807,24458,183613
2020-04-28,Canada,51150,19231,2983,73364
2020-04-28,China,83940,78422,4637,166999
2020-04-28,France,169053,46886,23663,239602
2020-04-28,Germany,159912,117400,6314,283626
2020-04-28,US,1012582,115936,58355,1186873
2020-04-28,United Kingdom,162350,813,25369,188532
2020-04-29,Canada,52865,20327,3155,76347
2020-04-29,China,83944,78474,4637,167055
2020-04-29,France,166543,48228,24090,238861
2020-04-29,Germany,161539,120400,6467,288406
2020-04-29,US,1039909,120720,60967,1221596
2020-04-29,United Kingdom,166441,857,26166,193464
2020-04-30,Canada,54457,21424,3310,79191
2020-04-30,China,83956,78523,4637,167116
2020-04-30,France,167299,49476,24379,241154
2020-04-30,Germany,163009,123500,6623,293132
2020-04-30,US,1069424,153947,62996,1286367
2020-04-30,United Kingdom,172481,859,26842,200182
2020-05-01,Canada,56343,22764,3537,82644
2020-05-01,China,83959,78573,4637,167169
2020-05-01,France,167305,50212,24597,242114
2020-05-01,Germany,164077,126900,6736,297713
2020-05-01,US,1103461,164015,64943,1332419
2020-05-01,United Kingdom,178685,892,27583,207160
2020-05-02,Canada,57926,23814,3684,85424
2020-05-02,China,83959,78586,4637,167182
2020-05-02,France,168518,50663,24763,243944
2020-05-02,Germany,164967,129000,6812,300779
2020-05-02,US,1132539,175382,66369,1374290
2020-05-02,United Kingdom,183500,896,28205,212601
2020-05-03,Canada,60504,24921,3795,89220
2020-05-03,China,83964,78684,4637,167285
2020-05-03,France,168925,50885,24900,244710
2020-05-03,Germany,165664,130600,6866,303130
2020-05-03,US,1158040,180152,67682,1405874
2020-05-03,United Kingdom,187842,901,28520,217263
2020-05-04,Canada,61957,26030,4003,91990
2020-05-04,China,83966,78792,4637,167395
2020-05-04,France,169583,51476,25204,246263
2020-05-04,Germany,166152,132700,6993,305845
2020-05-04,US,1180375,187180,68922,1436477
2020-05-04,United Kingdom,191832,910,28809,221551
2020-05-05,Canada,63215,27006,4190,94411
2020-05-05,China,83968,78870,4637,167475
2020-05-05,France,170687,52842,25537,249066
2020-05-05,Germany,167007,135100,6993,309100
2020-05-05,US,1204351,189791,71064,1465206
2020-05-05,United Kingdom,196243,926,29501,226670
2020-05-06,Canada,64694,28184,4366,97244
2020-05-06,China,83970,78929,4637,167536
2020-05-06,France,174224,54079,25812,254115
2020-05-06,Germany,168162,139900,7275,315337
2020-05-06,US,1229331,189910,73455,1492696
2020-05-06,United Kingdom,202359,934,30150,233443
2020-05-07,Canada,66201,29260,4541,100002
2020-05-07,China,83975,78977,4637,167589
2020-05-07,France,174918,55191,25990,256099
2020-05-07,Germany,169430,141700,7392,318522
2020-05-07,US,1257023,195036,75662,1527721
2020-05-07,United Kingdom,207977,970,30689,239636
2020-05-08,Canada,67674,30239,4697,102610
2020-05-08,China,83976,78993,4637,167606
2020-05-08,France,176202,55892,26233,258327
2020-05-08,Germany,170588,141700,7510,319798
2020-05-08,US,1283929,198993,77180,1560102
2020-05-08,United Kingdom,212629,997,31316,244942
2020-05-09,Canada,68918,31262,4823,105003
2020-05-09,China,83990,79127,4637,167754
2020-05-09,France,176782,56148,26313,259243
2020-05-09,Germany,171324,143300,7549,322173
2020-05-09,US,1309550,212534,78795,1600879
2020-05-09,United Kingdom,216525,1001,31662,249188
2020-05-10,Canada,70091,32109,4991,107191
2020-05-10,China,84010,79167,4637,167814
2020-05-10,France,177094,56327,26383,259804
2020-05-10,Germany,171879,144400,7569,323848
2020-05-10,US,1329260,216169,79526,1624955
2020-05-10,United Kingdom,220449,1002,31930,253381
2020-05-11,Canada,71264,33007,5115,109386
2020-05-11,China,84011,79198,4637,167846
2020-05-11,France,177547,56835,26646,261028
2020-05-11,Germany,172576,145617,7661,325854
2020-05-11,US,1347881,232733,80682,1661296
2020-05-11,United Kingdom,224332,1015,32141,257488
2020-05-12,Canada,72419,34055,5300,111774
2020-05-12,China,84018,79222,4637,167877
2020-05-12,France,178349,57898,26994,263241
2020-05-12,Germany,173171,147200,7738,328109
2020-05-12,US,1369376,230287,82356,1682019
2020-05-12,United Kingdom,227741,1023,32769,261533
2020-05-13,Canada,73568,35177,5425,114170
2020-05-13,China,84024,79246,4637,167907
